,H
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,1.536164e-318
156,4.163121211643e-311
157,4.7767642747694406e-304
158,3.5491934190173146e-297
159,1.1320004236863118e-290
160,-1.7132331222404832e-283
161,-3.6057098939915708e-276
162,-3.8239085657924794e-269
163,-2.6153165354713305e-262
164,-5.34148696271908e-256
165,1.747724288527021e-248
166,3.071556027337324e-241
167,3.0258020918338197e-234
168,1.8841363152388313e-227
169,1.1004136608875783e-221
170,-1.686463306074935e-213
171,-2.578602805026285e-206
172,-2.365723441632754e-199
173,-1.3184000341971697e-192
174,1.8067684107622336e-186
175,1.565453355833281e-178
176,2.1363204582332165e-171
177,1.82617690397591e-164
178,8.862736327615878e-158
179,-3.6749667481975904e-151
180,-1.4114309686891435e-143
181,-1.7482476544971874e-136
182,-1.3900576453702564e-129
183,-5.609369556156225e-123
184,4.744504821826332e-116
185,1.2435412117586098e-108
186,1.413942824657745e-101
187,1.0413691680002559e-94
188,3.2007554295156114e-88
189,-5.22528958630243e-81
190,-1.0749256734339399e-73
191,-1.1304444439434847e-66
192,-7.656200975064112e-60
193,-1.4533353031106172e-53
194,5.2912427710687314e-46
195,9.14122667758433e-39
196,8.933353613539405e-32
197,5.499979213725725e-25
198,2.1770107642547726e-19
199,-5.0805092479919775e-11
200,0.0005212700718637473
201,0.003146727036477363
202,0.0057484927658349415
203,0.008316615276082141
204,0.010842579314374969
205,0.013318019626790197
206,0.015734749468214508
207,0.01808478860671052
208,0.020360390722881646
209,0.02255407010624134
210,0.024658627552181067
211,0.026667175365088953
212,0.028573161375788594
213,0.030370391884027292
214,0.032053053439907275
215,0.033615733381379125
216,0.03505343904873869
217,0.036361615601328806
218,0.03753616236581286
219,0.03857344765018465
220,0.03947032196233193
221,0.04022412957748686
222,0.040832718404417684
223,0.041294448105760086
224,0.04160819643394172
225,0.04177336374992093
226,0.04178987569875586
227,0.041658184022330305
228,0.04137926549609628
229,0.04095461898346872
230,0.04038626060799159
231,0.039676717050826114
232,0.03882901698771013
233,0.037846680686501204
234,0.03673370779328631
235,0.03549456334175014
236,0.03413416202777259
237,0.03265785079760584
238,0.031071389804684903
239,0.029380931796465837
240,0.027592999998995227
241,0.025714464573280558
242,0.02375251772313864
243,0.021714647539930517
244,0.019608610674815976
245,0.017442403934365636
246,0.01522423490018719
247,0.012962491677484114
248,0.010665711881578888
249,0.008342550975032528
250,0.006001750071403283
251,0.003652103324499318
252,0.0013024250243649758
253,-0.0010384834767612169
254,-0.0033618668837134455
255,-0.0056590489970190045
256,-0.007921465544466003
257,-0.010140310316990912
258,-0.017204962505460535
259,-0.026363981487997703
260,-0.03536895578544764
261,-0.044186139749426194
262,-0.052782559568679596
263,-0.061125704577698316
264,-0.07182637639898792
265,-0.08326741712476933
266,-0.09431978263750607
267,-0.10494227334100367
268,-0.11509542085178984
269,-0.1247416416549516
270,-0.13384538427362347
271,-0.1423732688638359
272,-0.15029421864920378
273,-0.15757958263722416
274,-0.16420324909067505
275,-0.17014174926199696
276,-0.17537435093306983
277,-0.17988314134139868
278,-0.18365309911171093
279,-0.18667215485573802
280,-0.18893124014644092
281,-0.1904243246171611
282,-0.19114844098330414
283,-0.1911036978297552
284,-0.19029328005900248
285,-0.18872343694339067
286,-0.1864034577749343
287,-0.18334563515706595
288,-0.17956521603196168
289,-0.17508034059132455
290,-0.16991196926740962
291,-0.16408379805185558
292,-0.15762216243934513
293,-0.15055593034145062
294,-0.14291638436642573
295,-0.13473709390550578
296,-0.12605377751214095
297,-0.11690415610342188
298,-0.10732779755503277
299,-0.09736595330186823
300,-0.08706138759248926
301,-0.07645820008105407
302,-0.06560166643359268
303,-0.053102776371403614
304,-0.03929417095359883
305,-0.025405597400831693
306,-0.011495547213728148
307,0.0023775216190319148
308,0.016155427141740418
309,0.02978050890192066
310,0.0431958716998886
311,0.05634562657083815
312,0.06917512795738227
313,0.08163120604157842
314,0.09366239322011155
315,0.10521914372555737
316,0.11625404542050889
317,0.1267220228181353
318,0.1365805304176556
319,0.14578973547893326
320,0.1543126894017411
321,0.1621154869197572
322,0.16916741236710894
323,0.1754410723306703
324,0.18091251405530473
325,0.18556132902925424
326,0.18937074123772746
327,0.192327679637854
328,0.1944228344779958
329,0.1956506971518559
330,0.19600958335052265
331,0.19550163934663323
332,0.1941328313211025
333,0.19191291771930288
334,0.18885540469789525
335,0.18497748480094836
336,0.180299958833542
337,0.1759838507984425
338,0.17476171453523182
339,0.17276527434576944
340,0.17000572138487266
341,0.16649878594346715
342,0.16226352408890424
343,0.15732223016071603
344,0.15170033445024078
345,0.14542628647946182
346,0.1385314243613327
347,0.13104983079366664
348,0.12301817630113882
349,0.11447555040250892
350,0.10546328143923112
351,0.09602474585780507
352,0.08620516779327234
353,0.07605140984916343
354,0.06561175601541241
355,0.05493568770691286
356,0.04407365394322201
357,0.03307683672313997
358,0.021996912675084888
359,0.010885812087481385
360,-0.00020452355859073564
361,-0.011222384419004134
362,-0.022116534335810522
363,-0.032836450961403245
364,-0.04333256281641401
