,H0_Seed167,H1_Seed168,H2_Seed169,H3_Seed170,H4_Seed171,H5_Seed172,H6_Seed173,H7_Seed174,H8_Seed175,H9_Seed176
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7893907067576417e-130,1.4495557445153413e-260
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.720395429279476e-109,8.765446155089676e-240
2,0.0,8.65e-322,0.0,0.0,0.0,0.0,0.0,0.0,-1.1339171303425016e-101,1.2874067968926409e-232
3,0.0,7.735587447e-315,0.0,0.0,0.0,0.0,0.0,0.0,-1.0161308953159515e-94,1.1536767424684165e-225
4,0.0,4.1321207153813927e-308,0.0,0.0,0.0,0.0,0.0,0.0,-5.427868985202345e-88,6.162597986402086e-219
5,-5e-324,-9.014135419279121e-302,5e-324,-5e-324,0.0,0.0,5e-324,-5e-324,1.1840783326712584e-81,-1.3443579365233738e-212
6,0.0,-5.398376506072814e-294,0.0,0.0,0.0,0.0,0.0,0.0,7.091196609682241e-74,-8.051077516272277e-205
7,0.0,-7.121792862953557e-287,0.0,0.0,0.0,0.0,0.0,0.0,9.355040973483431e-67,-1.0621361131434116e-197
8,3e-323,-5.944497215005331e-280,0.0,0.0,0.0,0.0,0.0,0.0,7.808569567134506e-60,-8.865555749842891e-191
9,1.3089411e-316,-2.7305264204558902e-273,-5e-324,5e-324,0.0,0.0,-5e-324,5e-324,3.586763478531819e-53,-4.0722761457192794e-184
10,-7.011163271141e-310,1.4625689653169994e-266,-5e-324,5e-324,0.0,0.0,-5e-324,5e-324,-1.9212005825423213e-46,2.1812587727794208e-177
11,-2.3140810192043205e-302,4.827306041848719e-259,0.0,0.0,-3.5e-323,0.0,0.0,0.0,-6.341050165586545e-39,7.199389500506763e-170
12,-2.782773715549604e-295,5.805025951418742e-252,0.0,0.0,-4.62222685e-316,0.0,0.0,0.0,-7.625362977060407e-32,8.657549888589782e-163
13,-2.1581521202948506e-288,4.50202939441779e-245,0.0,0.0,-3.58472144831071e-309,0.0,1.475127e-318,0.0,-5.913773435830658e-25,6.71427559639549e-156
14,-8.057628422960406e-282,1.6808676120800697e-238,5e-324,-5e-324,-1.3383835716992287e-302,0.0,5.507493919806e-312,-5e-324,-2.2079532056780174e-18,2.5068268995645214e-149
15,8.464350444419523e-275,-1.7657121639877154e-231,5e-324,-5e-324,1.4059406794728731e-295,0.0,-5.785493716104586e-305,-5e-324,2.3194032681446146e-11,-2.6333631023397632e-142
16,2.0251510179268954e-267,-4.224581448683234e-224,0.0,0.0,3.363804720605099e-288,0.0,-1.3842170837934226e-297,0.0,-6.190312190436885e-05,-6.300492875726041e-135
17,2.241983030004351e-260,-4.6769054914789764e-217,0.0,0.0,3.723965784816201e-281,0.0,-1.5324245867274525e-290,0.0,-0.00023636071270644447,-6.975083824855471e-128
18,1.6073007995707713e-253,-3.352921871114496e-210,0.0,0.0,2.669749549129233e-274,0.0,-1.098611020050598e-283,0.0,-0.0004093703066722329,-5.000509664310017e-121
19,4.3557534024172424e-247,-9.08635200831327e-204,-5e-324,5e-324,7.234968516986567e-268,0.0,-2.9772141529430853e-277,5e-324,-0.0005804852887418,-1.355128236727357e-114
20,-9.018868432846142e-240,1.881387804277232e-196,-5e-324,5e-324,-1.4980469081256904e-260,0.0,6.164513979810101e-270,5e-324,-0.000749270368855702,2.80588044077111e-107
21,-1.740604322641797e-232,3.631000683814461e-189,0.0,0.0,-2.891168601936243e-253,0.0,1.189725713390662e-262,0.0,-0.0009152965801286424,5.415233252801704e-100
22,-1.7855706683532526e-225,3.724803066068334e-182,0.0,0.0,-2.965858343409309e-246,0.0,1.2204607960481516e-255,0.0,-0.0010781424004935615,5.5551290621935986e-93
23,-1.1732895936461934e-218,2.4475495443867085e-175,0.0,0.0,-1.9488507468373337e-239,0.0,8.019587109241859e-249,0.0,-0.0012373948587198421,3.6502476410188515e-86
24,-1.6910273097605062e-212,3.527580184775435e-169,5e-324,0.0,-2.8088204765437485e-233,0.0,1.15583917970222e-242,-5e-324,-0.0013926506218010942,5.260993093076148e-80
25,8.9507242872753e-205,-1.8671725437500947e-161,0.0,6.661616e-317,1.486728068369324e-225,0.0,-6.117936569228519e-235,0.0,-0.0015435170607340507,-2.7846799623824707e-72
