,H
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,-2.56983e-319
107,6.913904442197e-312
108,1.2593310758234422e-304
109,1.2606920429258848e-297
110,8.025368213612289e-291
111,7.566418544928773e-285
112,-6.742212102788945e-277
113,-1.060511771780409e-269
114,-9.883545021853118e-263
115,-5.656339860614438e-256
116,4.9764124568948414e-250
117,6.306219948064191e-242
118,8.811162136500544e-235
119,7.651780671103881e-228
120,3.8414119656365357e-221
121,-1.318483742049786e-214
122,-5.7191353557501605e-207
123,-7.229892087121709e-200
124,-5.843400250583277e-193
125,-2.4703728905794645e-186
126,1.8035668230335894e-179
127,5.0627080034634926e-172
128,5.862496832690683e-165
129,4.394051175253326e-158
130,1.4512810444058134e-151
131,-2.0387817030288696e-144
132,-4.393627085023559e-137
133,-4.699074386520873e-130
134,-3.24506768161461e-123
135,-7.08320149646772e-117
136,2.0960663424395195e-109
137,3.749237977921095e-102
138,3.723153950765849e-95
139,2.344325022775936e-88
140,1.79637532605325e-82
141,-2.033059831942044e-74
142,-3.1523903301227015e-67
143,-2.914919141394676e-60
144,-1.6464454257994617e-53
145,1.8448194351421178e-47
146,1.8942551359884095e-39
147,2.6153947484116006e-32
148,2.253429605170393e-25
149,1.1125853745345892e-18
150,-4.20679714782397e-12
151,0.00016820158112444323
152,0.0010696901965473109
153,0.0019631633658587964
154,0.0028453015271418616
155,0.003713243888448707
156,0.004564181584715734
157,0.005395366967574097
158,0.006204122709055781
159,0.006987850688033027
160,0.007744040628820632
161,0.008470278470104748
162,0.008984743583365621
163,0.006298179137526383
164,0.003575537244455159
165,0.0008559050178116801
166,-0.0018516000975157083
167,-0.004537918659861031
168,-0.007194079785575557
169,-0.009811231458150048
170,-0.012380670485810635
171,-0.014893872004043369
172,-0.01734251842037616
173,-0.0197185277003086
174,-0.022014080894973143
175,-0.02422164881321534
176,-0.026334017743232515
177,-0.028344314131534924
178,-0.030246028130473623
179,-0.03203303592887533
180,-0.03369962078419528
181,-0.035240492678617716
182,-0.0366508065258652
183,-0.03792617886055124
184,-0.039062702946619156
185,-0.040056962246784095
186,-0.04090604220015215
187,-0.041607540261005174
188,-0.0421595741579094
189,-0.04256078833813037
190,-0.042810358568765944
191,-0.04290799467208952
192,-0.04285394137946545
193,-0.042648977294827126
194,-0.04229636058727658
195,-0.0389654186277983
196,-0.03501781428812777
197,-0.030968128211590423
198,-0.026831154871242067
199,-0.023443293494869556
200,-0.02155224279571338
201,-0.01959487666836736
202,-0.017578394571626497
203,-0.015510260837274272
204,-0.013398108972120645
205,-0.011249714085109842
206,-0.009072964766176913
207,-0.00687583451755164
208,-0.004666352840211648
209,-0.002452576079959729
210,-0.00024255813897528232
211,0.0019556788402699354
212,0.004134173711261716
213,0.0062850553722028
214,0.008400571519827234
215,0.01047311700134498
216,0.012495261658578758
217,0.014459777559852819
218,0.01635966551692528
219,0.01818818078650788
220,0.019938857858331185
221,0.021605534234822713
222,0.023182373110869077
223,0.024663884865751527
224,0.026044947283495924
225,0.02732082442202083
226,0.028487184056542526
227,0.02954011362766722
228,0.03047579816613673
229,0.02998770118513659
230,0.029002499844195118
231,0.027913702993712267
232,0.02672584368307863
233,0.025443818200968693
234,0.02407286719017222
235,0.02261855551856072
236,0.02108675089596041
237,0.01948360131536703
238,0.017815511401872666
239,0.016089117757173584
240,0.014311263391819509
241,0.012488971341435916
242,0.010629417566559865
243,0.008739903238987977
244,0.006827826520308253
245,0.004900653940794197
246,0.002965891488856391
247,0.001031055522780187
248,-0.0008963563823467
249,-0.002808894538854128
250,-0.004699186087898127
251,-0.006559963664311756
252,-0.008384093671761544
253,-0.010164604055027192
254,-0.01188374472802952
255,-0.018777421459499333
256,-0.026226330885703048
257,-0.03352763270566741
258,-0.04065318897078898
259,-0.047575629034770715
260,-0.054268457064112034
261,-0.0607061561830159
262,-0.06686428879760885
263,-0.07271959268972138
264,-0.07825007248525384
265,-0.0834350861204114
266,-0.08825542594702092
267,-0.09269339413867908
268,-0.09673287208069112
269,-0.1003593834497707
270,-0.10356015071509073
271,-0.10632414481699679
272,-0.10864212780700469
273,-0.11050668825961917
274,-0.11191226929593392
275,-0.11285518908924157
276,-0.11333365375228
277,-0.11334776253715848
278,-0.11289950530909597
279,-0.11199275228815599
280,-0.11063323608492702
281,-0.10882852608744
282,-0.10658799528886626
283,-0.10392277967597864
284,-0.10084573033147702
285,-0.0973713584333628
286,-0.09351577336464005
287,-0.08929661417624647
288,-0.08473297467395656
289,-0.07984532242929909
290,-0.07465541204002926
291,-0.06918619299117039
292,-0.06346171249143104
293,-0.05750701368211592
294,-0.051348029637549884
295,-0.045011473594455675
296,-0.03852472586546476
297,-0.03191571790736799
298,-0.025212814028691362
299,-0.018444691233143698
300,-0.01164021770475084
301,-0.004828330448151673
302,0.0019620873970759307
303,0.008702329045778674
304,0.015363985837251293
305,0.02191906776416893
306,0.028340122242317894
307,0.03460035060836666
308,0.04067372184144503
309,0.04653529761795641
310,0.0514754623495887
311,0.056100991391588265
312,0.06045609976132569
313,0.06452326496993274
314,0.0682862604376181
315,0.07173022379888697
316,0.07484171930046901
317,0.07760879400725393
318,0.08002102756125182
319,0.08206957526517966
320,0.08374720429103762
321,0.0850483228433629
322,0.0859690021368243
323,0.08650699108059395
324,0.08666172359269349
325,0.08643431850029304
326,0.08582757201402824
327,0.0848459427974738
328,0.0834955296869408
329,0.08178404214860724
330,0.0797207635931443
331,0.07731650769940385
332,0.07458356793127295
333,0.07153566046318036
334,0.06818786075925624
335,0.06455653408081162
336,0.060659260224141975
337,0.05651475281869899
338,0.05214277354092917
