,H0_Seed167,H1_Seed168,H2_Seed169,H3_Seed170,H4_Seed171,H5_Seed172,H6_Seed173,H7_Seed174,H8_Seed175,H9_Seed176
0,-1.3277461862398608e-286,-2.0952618232452254e-113,-3.544253442912719e-102,-1.940061291692007e-148,4.016943279745528e-79,0.0,-3.42898845684273e-295,0.0,2.2683222034641402e-100,-2.65063978602543e-193
1,-5.40463295359353e-266,-1.2271457440936395e-91,1.4815756161248163e-79,-9.531720999816412e-127,-9.51452830626251e-57,0.0,-1.3208441865051696e-274,0.0,-1.614761754105768e-77,-3.641685115179209e-172
2,-7.937943004905817e-259,-1.802344961991812e-84,2.1760335806768148e-72,-1.3999518317866556e-119,-1.3974266904365055e-49,0.0,-1.93996261371795e-267,0.0,-2.3716479695564097e-70,-5.348649785158427e-165
3,-7.113385023214864e-252,-1.6151254363215424e-77,1.9499969542771993e-65,-1.2545311029941861e-112,-1.2522682620225409e-42,0.0,-1.7384479824924152e-260,0.0,-2.1252917961928707e-63,-4.79305599103475e-158
4,-3.799758685156397e-245,-8.62751964676276e-71,1.0416303685037422e-58,-6.701331980262811e-106,-6.689244556895064e-36,0.0,-9.286272004974252e-254,0.0,-1.1352676587471416e-56,-2.5603079365074453e-151
5,8.289094561314283e-239,1.8820754712903712e-64,-2.2722949897280597e-52,1.4618816370658017e-99,1.459244790791983e-29,0.0,2.0257809284579225e-247,0.0,2.4765627913450264e-50,5.5852585256759065e-145
6,4.9641647540268475e-231,1.1271354971145875e-56,-1.3608297764393634e-44,8.754902291921094e-92,8.73911077303139e-22,0.0,1.213197679196967e-239,0.0,1.483161475477014e-42,3.344894102750984e-137
7,6.548960243134792e-224,1.4869703011445549e-49,-1.7952708149628372e-37,1.1549879966370836e-84,1.1529047049956066e-14,0.0,1.600507590260698e-232,0.0,1.9566565612401742e-35,4.412742038554706e-130
8,5.4663589177091894e-217,1.2411608964259353e-42,-1.4984965956020888e-30,9.640582170093622e-78,9.62319311989322e-08,0.0,1.3359294627043433e-225,0.0,1.6332038438677382e-28,3.683276565815636e-123
9,2.51089989760927e-210,5.7011089368009995e-36,-6.883146542526093e-24,4.42827431352015e-71,-4.6101812212358084e-05,0.0,6.136415851236166e-219,0.0,7.50190652694924e-22,1.6918645283260014e-116
