,H
0,-5.392064454511434e-171
1,-1.0693715169007583e-149
2,-1.570617325008368e-142
3,-1.4074686288384494e-135
4,-7.518278750635306e-129
5,1.640096876302781e-122
6,9.822195954343086e-115
7,1.2957904097174098e-107
8,1.0815847399690383e-100
9,4.968116901444375e-94
10,-2.6611035665784564e-87
11,-8.783149122912795e-80
12,-1.0562083313477307e-72
13,-8.191317307016352e-66
14,-3.058291884699704e-59
15,3.2126641878423233e-52
16,7.686508484003828e-45
17,8.509499503274983e-38
18,6.1005481185655345e-31
19,1.6532364838698134e-24
20,-3.423132799048278e-17
21,-6.606504786449255e-10
22,-0.000167169937546654
23,-0.0005327168428302921
24,-0.0008948797988247144
25,-0.001252641437060156
26,-0.0016049954048304328
27,-0.001950952305784966
28,-0.0022895425442769446
29,-0.002619819118623876
30,-0.002940860354967301
31,-0.0032517725735470107
32,-0.003551692679337699
33,-0.003839790669203061
34,-0.004115272047910041
35,-0.004377380145575381
36,-0.004625398329361541
37,-0.004858652102496017
38,-0.005076511084022764
39,-0.00527839086298658
40,-0.005463754721100541
41,-0.005632115218289099
42,-0.005783035635877396
43,-0.005916131272628829
44,-0.006031070589217307
45,-0.006127576197167292
46,-0.006205425688711219
47,-0.006264452304495771
48,-0.006304545436558651
49,-0.0063256509644552174
50,-0.006327771422924481
51,-0.006310965999948538
52,-0.006275350364612343
53,-0.006221096324680599
54,-0.00614843131431137
55,-0.006057637712858771
56,-0.005949051996201798
57,-0.005823063722613064
58,-0.005680114355675028
59,-0.0055206959272625904
60,-0.005345349544121838
61,-0.005154663742050451
62,-0.0049492726922292585
63,-0.0047298542647025614
64,-0.0044971279544799405
65,-0.004251852676180946
66,-0.0039948244335758455
67,-0.0037268738708331637
68,-0.0034488637126595077
69,-0.003161686100910683
70,-0.002866259835605409
71,-0.0025635275286203627
72,-0.002254452678675316
73,-0.0019400166764903626
74,-0.0016212157492687617
75,-0.0012990578445660629
76,-0.0008713235940402806
77,0.00018419560153429656
78,0.0012327846959097044
79,0.002271904598099718
80,0.0032983273463969907
81,0.004308881532366015
82,0.004584360366443639
83,0.0043084223408806155
84,0.004020323345298766
85,0.0037210221193436886
86,0.0037557228051168456
87,0.004156941851729605
88,0.00456530781340469
89,0.005163656611016876
90,0.005741904836120224
91,0.006298637228421037
92,0.0068321491696682795
93,0.007340813982228952
94,0.007823088142675388
95,0.008277516233663244
96,0.008702735617294599
97,0.009097480670833036
98,0.009961154983991397
99,0.0117090786875615
100,0.01322199482676472
101,0.014852250622362029
102,0.016427307948131978
