,H
0,7.74058069532363e-166
1,1.634790106959566e-144
2,2.401064199076852e-137
3,2.1516523994854825e-130
4,1.1493487089055199e-123
5,-2.507280309471378e-117
6,-1.5015575523568776e-109
7,-1.9809255333807486e-102
8,-1.6534609392477522e-95
9,-7.594954823779922e-89
10,4.068133212341702e-82
11,1.342714395058743e-74
12,1.614667029826319e-67
13,1.25223874816512e-60
14,4.67533054535612e-54
15,-4.911325529304434e-47
16,-1.175066646914509e-39
17,-1.300880506284867e-32
18,-9.326146763438129e-26
19,-2.527367342012783e-19
20,5.23307713572595e-12
21,-7.715934466174954e-05
22,-0.000475698623076914
23,-0.0008712493793023579
24,-0.0012625913822865778
25,-0.0016487155057249936
26,-0.0020286272877662005
27,-0.002401349558295091
28,-0.0027659250280307364
29,-0.0031214188323251553
30,-0.0034669210226464004
31,-0.0038015489988260506
32,-0.00412444987524675
33,-0.0044348027743089284
34,-0.004731821040655518
35,-0.005014754369809618
36,-0.005282890845067301
37,-0.005535558876682638
38,-0.005772129037648131
39,-0.00599201579059521
40,-0.006194679100613334
41,-0.006379625929050226
42,-0.0065464116036515665
43,-0.00669464106074278
44,-0.006823969955453061
45,-0.00693410563633706
46,-0.007024807981074749
47,-0.0070958900903161015
48,-0.007147218837130962
49,-0.007178715269886297
50,-0.0071903548667851805
51,-0.0071821676406700775
52,-0.0071542380931465055
53,-0.007106705017496507
54,-0.007039761150258903
55,-0.0069536526717912045
56,-0.006848678556520992
57,-0.006725189774079144
58,-0.006583588342914276
59,-0.0064243262384141705
60,-0.006247904157989659
61,-0.006054870145974182
62,-0.005845818081662404
63,-0.0056213860341909365
64,-0.0053822544883751385
65,-0.005129144446005575
66,-0.004862815407485059
67,-0.0045840632390982735
68,-0.004293717931538474
69,-0.003992641255674247
70,-0.00368172432186178
71,-0.0033618850494329315
72,-0.003034065553305238
73,-0.0026992414328391176
74,-0.002446405014726796
75,-0.0022150489783219884
76,-0.0019784974321259098
77,-0.0017374490530511042
78,-0.0014926144744293718
79,-0.001179258737307815
80,-0.0006917491872289879
81,-0.00020477021030561963
82,0.00028029551418989765
83,0.0006435946327443293
84,0.000776623185141485
85,0.0008792811544102642
86,0.0005242389702776446
87,0.0001659471950192273
88,-0.00019097711059816618
89,-0.0005454871687987229
90,-0.0008965449397025792
91,-0.0012431241981657325
92,-0.0015842135820530576
93,-0.0019188196025198073
94,-0.0022459840203692028
95,-0.0024785414146794144
96,-0.0026677535269490262
97,-0.004687062546420733
98,-0.00772582009747461
99,-0.010725472274175642
100,-0.013677137099313445
101,-0.01657209333108992
102,-0.019401805048179684
103,-0.02215794751448229
104,-0.02483243245190197
105,-0.027417432641537242
106,-0.02990540577538995
107,-0.032289117482497263
108,-0.03456166345561406
109,-0.036716490606723655
110,-0.03874741718533855
111,-0.04068834672716699
112,-0.04269835000045279
113,-0.0445661408607344
114,-0.04628647842037695
115,-0.04785457161743552
116,-0.04926610860049271
117,-0.050517270120066744
118,-0.051604741408126716
119,-0.05252572250280204
120,-0.05327793698060945
121,-0.053859639063046805
122,-0.05426961906947124
123,-0.0545071926837662
124,-0.05549728064981631
125,-0.057072809888707714
126,-0.058459966669505696
127,-0.05965505188368342
128,-0.06065498284653793
129,-0.061457300131839046
130,-0.06206017531749437
131,-0.06246241673143288
132,-0.06266347317260995
133,-0.06266343558807662
134,-0.06246303669392785
135,-0.0620636485346658
136,-0.061467277981914994
137,-0.06067656018031511
138,-0.059694749954723014
139,-0.05852571120013863
140,-0.05717390428232953
141,-0.05564437148366278
142,-0.05394272053533636
143,-0.052075106283345524
144,-0.050048210542498923
145,-0.04786922019873076
146,-0.045545803626048716
147,-0.0430860854903524
148,-0.04049862001787835
149,-0.03779236281202788
150,-0.034976422517136195
151,-0.03311093636512518
152,-0.03134477018609136
153,-0.029484694691442808
154,-0.02753721113234662
155,-0.025509096773526956
156,-0.023407382281499196
157,-0.021239328252319823
158,-0.019012400939605347
159,-0.016734247262010022
160,-0.014412669172018926
161,-0.012055597470515714
162,-0.009671065153800255
163,-0.007267180381828908
164,-0.004852099158128039
165,-0.002433997813185401
166,-2.1045384237891707e-05
167,0.002378592182863822
168,0.004186949797071882
169,0.004811004478370497
170,0.004548733164284268
171,0.00427242027966565
172,0.003983061563048669
173,0.0036816954075386435
174,0.0033693989755483626
175,0.0030472844856600794
176,0.00271649537451056
177,0.0023782023466181047
178,0.002033599325549167
179,0.0016838993202003363
180,0.0013303302203350783
181,0.0009741305358208639
182,0.0006165450942799442
183,0.000258820712082204
184,-9.779814624202446e-05
185,-0.0004520737049834708
186,-0.000802779195386617
187,-0.0011487031396852322
188,-0.0014886535858584023
189,-0.0018214622780287674
190,-0.0021459887475948807
191,-0.002461124310387558
192,-0.0027657959554250465
193,-0.003058970111176413
194,-0.003339656275608825
195,-0.003606910496734806
196,-0.0038598386908196645
197,-0.00409759978597965
198,-0.004319408679469441
199,-0.004524538997572551
200,-0.004712325649107166
201,-0.004881195657423693
202,-0.00502999960141033
203,-0.0051598816557958576
204,-0.005270451944829453
205,-0.00536139098069485
206,-0.005432450831369719
207,-0.005483455959202146
208,-0.0055143037975340335
209,-0.005524965062636243
210,-0.005515483799159596
211,-0.005485977158271071
212,-0.005436634908681275
213,-0.005367718681705308
214,-0.005279560952506441
215,-0.005172563760621952
216,-0.005047197229818635
217,-0.00461766655991338
218,-0.004602000098472971
219,-0.006401851439119364
220,-0.008167651635497512
221,-0.009893036137132629
222,-0.011571787561603434
